"y","x"
0.0,0.0
0.0009324473330079552,0.00035844464646879264
0.010256884894490477,0.003942984158801949
0.06692571542881211,0.025729996478200304
0.17079465771007268,0.06565104514938237
0.3088719916349788,0.11862165174765975
0.44959579435380426,0.17239311441622976
0.6745922405251137,0.2576777674748848
0.9191384577931101,0.3490731885582932
1.253627501432609,0.4712807417144039
1.6222478458042102,0.6014636152847994
2.2064723939794373,0.7965729253701705
2.82191852788357,0.9855688355334722
3.488487440482037,1.169821004073326
4.248187047358815,1.3532946790254845
5.420104431252456,1.5823182502001225
6.23616046494924,1.7062033775084462
7.460605939547079,1.8467494375011708
8.233761011037364,1.9146527665902873
9.524554593947201,2.010013606927904
10.455946615813836,2.0790173396055227
11.692288525808983,2.191658094823798
12.925148124712731,2.3476221589301884
14.499423511235062,2.6341024279133265
15.73963786259698,2.9382495579444847
17.05594335295324,3.3357511121227907
18.17654288077114,3.725173164890811
19.207846801273746,4.110420435559854
20.25593706641321,4.509467988778939
21.350511999293666,4.912269700067957
22.49677913363787,5.297120401697428
24.136765244634297,5.752955245463126
25.30328057297008,6.001222710546518
26.770667121479068,6.228418651022684
27.875132755524923,6.347803151206105
29.02230378361185,6.4404254521454005
30.154775147751,6.5187963953737595
31.362872465548907,6.610586071341019
32.61285794717315,6.7380657662442855
34.64006865968779,7.062944754995222
35.84636863071786,7.341487513808422
37.239180969328885,7.7443440630161
38.43965349204537,8.151955992755806
39.502766320765595,8.544099634471628
40.57611900008692,8.949654095233313
41.687951502435595,9.356671245965494
42.850162563334536,9.744989361965237
44.25562224906021,10.141140396545351
45.517889588594514,10.419114799838425
46.80932656466719,10.629368055918409
47.99851272255397,10.766430690063292
49.03517229876743,10.853753416622787
50.204486370678445,10.933663506274142
51.35376487689058,11.013202209748247
52.607116188974445,11.124942604264557
53.86429027261735,11.284667654351765
55.342703488557845,11.553915572306158
56.63690960007309,11.870429549634773
57.97554997755738,12.274959441636874
59.136315810274304,12.677572470201364
60.1539270713025,13.054393213541182
61.261118583709184,13.468315216723738
62.362124175961554,13.86116475923976
63.65373613756853,14.272442663821549
65.24547453791511,14.680249678793649
66.39672828331365,14.90206767884464
67.80831922146488,15.09706761901084
68.86961853844214,15.198940872004778
70.07910050596377,15.285687564959975
71.22387628843823,15.358863648490619
72.4497780279509,15.451281620756832
73.72756631566186,15.586987362341246
75.54945737587691,15.886106661793844
76.79788510640556,16.175836274580444
78.26017875591475,16.60287865485206
79.43257362722467,17.002339001559093
80.47613530691882,17.38439740938315
81.56424955313271,17.788572243254684
82.68657908504868,18.188159600627603
83.85930246867565,18.56459384446953
85.21223435090052,18.927404302353814
86.39969955426648,19.176071839734973
87.64179446776824,19.368925543342947
88.84819659870976,19.500250299965575
89.86833270741097,19.580100382770404
90.98470690000882,19.6505789389249
92.12708703340056,19.723496750562788
93.34306038589229,19.824144540471
94.61530079464721,19.976360372863624
96.26179425482903,20.269672265939356
97.47348929147302,20.563256000402916
